Type,Title,Location,Bedrooms,Bathrooms,Space,Price
Apartment,Apartment Ready to move Fully Finished with ACs,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,2 bathrooms,160 sqm,"2,809,000 EGP"
Chalet,chalet 1 bedroom under market price,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,70 sqm,"3,865,000 EGP"
Twin House,Unique Twin house For Sale In Marassi Emaar,"Marassi, Sidi Abdel Rahman, North Coast",6 bedrooms,5 bathrooms,500 sqm,"16,500,000 EGP"
Apartment,APARTMENTS FOR SALE IN DE JOYA NEW CAPITAL,"De Joya, New Capital Compounds, New Capital City, Cairo",3 bedrooms,2 bathrooms,170 sqm,"250,000 EGP"
Apartment,fully finished apartment for sale at Fifth square,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,3 bathrooms,172 sqm,"3,649,995 EGP"
Apartment,Apartment 165M Ready To Move ON 9 Yrs In MV,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,164 sqm,"1,200,000 EGP"
Apartment,finished Apartment in New alamin The gate Towers.,"The Gate Towers, New Alamein City, North Coast",3 bedrooms,3 bathrooms,120 sqm,"6,200,000 EGP"
Penthouse,Penthouse|Fully Finished|0% Down Payment|10 Years,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",2 bedrooms,2 bathrooms,114 sqm,"2,960,000 EGP"
Chalet,Chalet 133m at somabay sea view for 7 years 2bed,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",2 bedrooms,2 bathrooms,133 sqm,"4,990,000 EGP"
Apartment,Apartment for sale in sodic sky condos,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,3 bathrooms,162 sqm,Ask for price
Apartment,Own your Apartment in District 5 with 10% D.P,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,160 sqm,"3,614,000 EGP"
Villa,Stone Park | Standalone | Super Lux Finishing,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,370 sqm,"16,500,000 EGP"
Villa,first row villa for sale by installments in Azha,"Azha North, Ras Al Hekma, North Coast",4 bedrooms,3 bathrooms,200 sqm,"3,500,000 EGP"
Chalet,Chalet 3 bed side golf and lake in North Coast,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,195 sqm,"6,900,000 EGP"
Villa,Palm hills extension | Fully finished | Villa,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,400 sqm,"11,000,000 EGP"
Hotel Apartment,5-star Hotel Apartment For Sale in Bianchi Ilios,"Bianchi, Sidi Abdel Rahman, North Coast",Studio,1 bathroom,55 sqm,"2,000,000 EGP"
Villa,Sea front Villa resale 1500 m2 Land area,"Hacienda Bay, Sidi Abdel Rahman, North Coast",6 bedrooms,6 bathrooms,"1,500 sqm","30,000,000 EGP"
Apartment,Book Now Your Apartment In The New Capital DP 10%,"R7, New Capital City, Cairo",3 bedrooms,2 bathrooms,136 sqm,"1,468,800 EGP"
Apartment,apart Ready to move with installments in Mostkbal,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3 bedrooms,3 bathrooms,179 sqm,"2,650,000 EGP"
Chalet,Chalet fully finished for sale in Marassi Marina,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,92 sqm,"5,000,000 EGP"
Apartment,V.G.K. Palm Hills 174 m - Hot unit,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,174 sqm,"2,750,000 EGP"
Duplex,Duplex 200m For Sale in Compound Al Burouj,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4 bedrooms,5 bathrooms,200 sqm,"216,350 EGP"
