,Type,Title,Location,Bedrooms,Bathrooms,Space,Price
0,Chalet,Chalet + 120m Roof | Sea and Pool View | 3rd Row,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast",4 bedrooms,3 bathrooms,200 sqm,Ask for price
1,Apartment,Apartment in new capital way new capital compounds,"R7, New Capital City, Cairo",4 bedrooms,3 bathrooms,260 sqm,"7,418,000 EGP"
2,Villa,Corner villa |970 M |Practice Golf |Michael Graves,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4 bedrooms,5 bathrooms,970 sqm,"19,000,000 EGP"
3,Twin House,Panoramic sea view twin first row for sale LAVISTA,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast",4 bedrooms,4 bathrooms,320 sqm,"9,500,000 EGP"
4,Villa,Own a panoramic villa|Enjoy in Lake West 2 |10% DP,"Lake West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",6 bedrooms,6 bathrooms,292 sqm,"7,100,000 EGP"
5,Villa,"Villa in Arezzo, Marassi, North Coast","Marassi, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,623 sqm,"25,300,000 EGP"
6,Chalet,fully finished //direct pool //prime location //,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,73 sqm,Ask for price
7,Villa,Villa For Sale - Caesar Sodic | North Coast,"Caesar, Qesm Marsa Matrouh, North Coast",6 bedrooms,7 bathrooms,280 sqm,"43,000,000 EGP"
8,Apartment,Fully Finished Apartment | Very Prime Location,"Ahmed Orabi St., Rehab City Forth Phase, Al Rehab, New Cairo City, Cairo",3 bedrooms,3 bathrooms,210 sqm,"3,500,000 EGP"
9,Apartment,Apartment 160m for sale D.P 10% 8 years equal,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,160 sqm,"350,000 EGP"
10,Twin House,BIggest twin house for sale in layan residence,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,5 bathrooms,283 sqm,"6,700,000 EGP"
11,Chalet,Chalet 251m Direct to Marina Very Special View,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,251 sqm,"20,500,000 EGP"
12,Villa,Prime location | Uptown cairoTerencia | Finished,"Terencia, Uptown Cairo, Mokattam, Cairo",5 bedrooms,5 bathrooms,741 sqm,"33,000,000 EGP"
13,Chalet,Finished chalet for sale in Amwaj 10% downpayment,"Amwaj, Al Alamein, North Coast",2 bedrooms,2 bathrooms,115 sqm,"3,037,000 EGP"
14,Penthouse,bent house ready to move fully finished + ACs,"Fifth Square, North Investors Area, New Cairo City, Cairo",4 bedrooms,3 bathrooms,270 sqm,"5,200,000 EGP"
15,Apartment,"Very Special Apartment 240m, Smouha (Baron Towers)","Albert Al Awal St., Smouha, Hay Sharq, Alexandria",4 bedrooms,2 bathrooms,240 sqm,"4,700,000 EGP"
16,Villa,For sale villa in Rabwa compound - Sheikh Zayed,"Al Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4 bedrooms,4 bathrooms,680 sqm,"12,000,000 EGP"
17,Apartment,apartment with garden in mountain view i city,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,160 sqm,"3,700,000 EGP"
18,Twin House,"Townhouse Fully Finished @ Orascom, 5%DP Over 8Ys.","O West, 6 October Compounds, 6 October City, Giza",4 bedrooms,4 bathrooms,285 sqm,"8,200,000 EGP"
19,Villa,"For sale in Rabwa compound, semi-finished villa","Al Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,780 sqm,"12,000,000 EGP"
20,Twin House,For Sale Villa In Telal north coast over 8 years,"Telal Alamein, Sidi Abdel Rahman, North Coast",4 bedrooms,4 bathrooms,200 sqm,"7,500,000 EGP"
21,Villa,Medium villa at Villette Sodic very prime location,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,5 bathrooms,650 sqm,"13,000,000 EGP"
22,Chalet,under market price 3 in 1 chalet in hacienda bay,"Hacienda Bay, Sidi Abdel Rahman, North Coast",4 bedrooms,3 bathrooms,270 sqm,"4,800,000 EGP"
23,Apartment,Duplex Landscape view over 8 Years besides AUC,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,4 bathrooms,227 sqm,"552,000 EGP"
24,Villa,Stand Alone villa for sale in Hyde Park .,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,3 bathrooms,475 sqm,"14,000,000 EGP"
25,Apartment,Duplex Landscape view over 8 Years besides AUC,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,4 bathrooms,227 sqm,"552,000 EGP"
26,Villa,Stand Alone villa for sale in Hyde Park .,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,3 bathrooms,475 sqm,"14,000,000 EGP"
27,Villa,sale villa hacienda bay at lake bahry,"Hacienda Bay, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,860 sqm,"9,000,000 EGP"
28,Apartment,3 Bedroom ground apartment for sale |Cairo Gate,"Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,157 sqm,"1,749,690 EGP"
29,Chalet,"Prime Location @ Ras ElHekma, Palmhills, Only10%DP","Hacienda West, Sidi Abdel Rahman, North Coast",2 bedrooms,2 bathrooms,120 sqm,"2,850,000 EGP"
30,Chalet,Chalet with garden Ready 2 move viewsea northcoast,"Sea View, Qesm Ad Dabaah, North Coast",2 bedrooms,1 bathroom,72 sqm,"1,899,000 EGP"
31,Villa,under market price villa for sale331with good view,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,450 sqm,"12,500,000 EGP"
32,Twin House,Twin house under market price at silver sands prim,"Silver Sands, Qesm Marsa Matrouh, North Coast",4 bedrooms,4 bathrooms,307 sqm,"1,700,000 EGP"
33,Villa,Own your luxury villa|10% dp|installments 10 years,"Etapa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4 bedrooms,4 bathrooms,270 sqm,"9,899,999 EGP"
34,Penthouse,pent house for sale in mountain view executive,"Mountain View Executive, Al Andalus District, New Cairo City, Cairo",3 bedrooms,3 bathrooms,167 sqm,"3,550,000 EGP"
35,Apartment,Luxury Apartment/fully finished/0%DP/@ZED TOWERS,"Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,140 sqm,"4,500,000 EGP"
36,Chalet,58 m studio the gate towers sea view,"The Gate Towers, New Alamein City, North Coast",Studio,1 bathroom,58 sqm,"3,750,000 EGP"
37,Apartment,Hot Offer ! Fully furnished in a 5 stars hotel !,"Stella Makadi Gardens, Makadi, Hurghada, Red Sea",2 bedrooms,1 bathroom,140 sqm,"1,400,000 EGP"
38,Villa,under market price| first golf | Prime Location,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",8 bedrooms,7 bathrooms,"1,550 sqm","45,000,000 EGP"
39,Villa,under market price Villa at eagles compound 500m,"Eagles, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,6 bathrooms,500 sqm,"5,600,000 EGP"
40,Apartment,,"Arabia Area, Hurghada, Red Sea",2 bedrooms,1 bathroom,110 sqm,"1,960,000 EGP"
41,Villa,Villa first Row - direct sea view in Marina 7,"Marina 7, Marina, Al Alamein, North Coast",6 bedrooms,7 bathrooms,600 sqm,"25,000,000 EGP"
42,Townhouse,town house sea view for sell mountain view sahel,"Mountain View, Ras Al Hekma, North Coast",3 bedrooms,3 bathrooms,150 sqm,"4,800,000 EGP"
43,Twin House,Twin House Corner | With Only 919 K DP | Lagoon,"Mountain View, Ras Al Hekma, North Coast",3 bedrooms,3 bathrooms,238 sqm,"919,000 EGP"
44,Duplex,Al-Burouj Upper Duplex 276m for the best price,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3 bedrooms,4 bathrooms,276 sqm,"3,117,000 EGP"
45,Villa,Amazing Stand Alone For Sale in Seasons Residence,"Seasons Residence, Ext North Inves Area, New Cairo City, Cairo",5 bedrooms,5 bathrooms,900 sqm,"18,000,000 EGP"
46,Townhouse,Townhouse middle 202m For sale in O west,"O West, 6 October Compounds, 6 October City, Giza",3 bedrooms,3 bathrooms,202 sqm,"4,704,000 EGP"
47,Chalet,Studio In Marassi Emaar - Marina view,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,72 sqm,"5,150,000 EGP"
48,Chalet,Senior Chalet 3 Bed With 120M Garden Over 6 Years,"Silver Sands, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,120 sqm,"7,400,000 EGP"
49,Chalet,prime location // view marina // ready to move,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,84 sqm,"7,687,000 EGP"
50,Villa,For sale villa in Rabwa compound Sheikh Zayed -,"Al Rabwa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4 bedrooms,2 bathrooms,670 sqm,"2,400,000 EGP"
51,Villa,Large Villa under market price open view,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",7 bedrooms,7 bathrooms,449 sqm,"14,000,000 EGP"
52,Apartment,Apartment For sale -Mivida-Boulevard-2 bedrooms .,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,133 sqm,"2,300,000 EGP"
53,Chalet,Ground chalet in the best view 120m + 112m garden,"Silver Sands, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,120 sqm,"670,000 EGP"
54,Villa,STAND ALONE VILLA PRIME LOCATION IN BADYA 10Y INST,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4 bedrooms,4 bathrooms,220 sqm,"6,500,000 EGP"
55,Apartment,Finished apt 0% DP and installments 10 years Badya,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,2 bathrooms,177 sqm,"4,000,000 EGP"
56,Chalet,"Chalet 120m, Pool View, Ready to move","Lasirena, Qesm Ad Dabaah, North Coast",3 bedrooms,2 bathrooms,120 sqm,"2,500,000 EGP"
